"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.228711640E-1,-4.686941206E-1,-1.582254022E-1,9.939486504E0,9.951788855E0
5.253176220E-1,-4.447658956E-1,-1.725823283E-1,9.970891953E0,9.982298718E0
5.277632990E-1,-4.280161560E-1,-1.869392693E-1,9.992427826E0,1.000333734E1
5.302097580E-1,-4.328017831E-1,-2.060818523E-1,1.001156998E1,1.002303948E1
5.326571010E-1,-4.686941206E-1,-1.893320978E-1,1.002114105E1,1.003388204E1
5.351035080E-1,-4.950151742E-1,-2.132603228E-1,1.001635551E1,1.003084731E1
5.375491850E-1,-5.715855360E-1,-2.180459648E-1,9.980463028E0,9.999194784E0
5.399956430E-1,-6.266204119E-1,-2.204387933E-1,9.927521706E0,9.949720278E0
5.424429870E-1,-6.529414654E-1,-2.491526604E-1,9.855737686E0,9.880484550E0
5.448893930E-1,-6.696912646E-1,-2.300100774E-1,9.733703613E0,9.759425037E0
5.473350700E-1,-6.864410043E-1,-2.180459648E-1,9.566205978E0,9.593281092E0
5.497816330E-1,-6.457630396E-1,-1.701895148E-1,9.458528519E0,9.482074463E0
5.522288720E-1,-6.194419861E-1,-1.319043487E-1,9.245268822E0,9.266935994E0
5.546752780E-1,-5.715855360E-1,-9.361918271E-2,9.123234749E0,9.141601985E0
5.571210080E-1,-5.285146832E-1,-4.336991161E-2,9.005986214E0,9.021585027E0
5.595674660E-1,-5.213362575E-1,-1.465603895E-2,8.943773270E0,8.958966826E0
5.620147580E-1,-5.452644825E-1,-5.054837838E-2,8.907880783E0,8.924696552E0
5.644612160E-1,-6.098706722E-1,-1.175474152E-1,8.910273552E0,8.931894223E0
5.669068930E-1,-7.199404836E-1,-2.012962103E-1,8.972486496E0,9.003574201E0
5.693533510E-1,-7.941179872E-1,-2.659024298E-1,9.046664238E0,9.085343214E0
5.718006950E-1,-8.252246976E-1,-2.874378264E-1,9.123234749E0,9.164989285E0
5.742471010E-1,-8.180462122E-1,-3.065803945E-1,9.175876617E0,9.217369627E0
5.766927780E-1,-7.725825906E-1,-2.563311160E-1,9.218947411E0,9.254813929E0
5.791392370E-1,-7.055835724E-1,-2.036890239E-1,9.276374817E0,9.305399891E0
5.815865800E-1,-6.337988973E-1,-1.390828192E-1,9.319445610E0,9.342007897E0
