"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.111264130E-1,-1.094716340E-1,-5.676971674E-1,9.757631302E0,9.774744638E0
7.135726110E-1,-1.238285750E-1,-5.820540786E-1,9.752845764E0,9.770983623E0
7.160195900E-1,-1.333998591E-1,-5.796613097E-1,9.740881920E0,9.759025737E0
7.184649550E-1,-1.333998591E-1,-5.724828243E-1,9.764810562E0,9.782487282E0
7.209111530E-1,-1.190429255E-1,-5.796613097E-1,9.740881920E0,9.758840045E0
7.233573510E-1,-1.166501045E-1,-5.629115105E-1,9.762416840E0,9.779328155E0
7.258034440E-1,-1.214357466E-1,-5.748756528E-1,9.757631302E0,9.775305483E0
7.282504760E-1,-1.549352705E-1,-5.772684813E-1,9.738489151E0,9.756813762E0
7.306958400E-1,-1.070788130E-1,-5.748756528E-1,9.752845764E0,9.770360709E0
7.331420380E-1,-1.238285750E-1,-5.988038778E-1,9.752845764E0,9.771995707E0
7.355890170E-1,-1.214357466E-1,-5.724828243E-1,9.748060226E0,9.765611164E0
7.380343820E-1,-1.429711580E-1,-5.605186820E-1,9.733703613E0,9.750877293E0
7.404805800E-1,-1.142572835E-1,-5.581258535E-1,9.760024071E0,9.776636899E0
7.429267780E-1,-1.238285750E-1,-5.605186820E-1,9.750452995E0,9.767335784E0
7.453728710E-1,-1.166501045E-1,-5.676971674E-1,9.779167175E0,9.796325738E0
7.478199030E-1,-1.286142170E-1,-5.796613097E-1,9.776774406E0,9.794787728E0
7.502652670E-1,-1.310070455E-1,-5.605186820E-1,9.750452995E0,9.767429429E0
7.527114650E-1,-1.190429255E-1,-5.605186820E-1,9.748060226E0,9.764887638E0
7.551584440E-1,-1.405783296E-1,-5.557330847E-1,9.755238533E0,9.772066330E0
7.576037570E-1,-1.405783296E-1,-5.676971674E-1,9.755238533E0,9.772754022E0
7.600500070E-1,-1.070788130E-1,-5.557330847E-1,9.760024071E0,9.776419334E0
7.624962050E-1,-1.214357466E-1,-5.557330847E-1,9.745667458E0,9.762254867E0
7.649422990E-1,-1.333998591E-1,-5.629115105E-1,9.762416840E0,9.779542292E0
7.673893300E-1,-1.333998591E-1,-5.533402562E-1,9.743274689E0,9.759886404E0
7.698346420E-1,-1.310070455E-1,-5.700899959E-1,9.760024071E0,9.777537283E0
